id,title,release_year,age_certification,runtime,imdb_id,imdb_score,imdb_votes,is_best_movie_by_year,is_best_movie,is_best_show_by_year,is_best_show
tm111226,Awara Paagal Deewana,2002,,169,tt0319020,6.2,8309,0,0,0,0
tm139658,Big Fish,2003,PG-13,125,tt0319061,8.0,435503,1,1,0,0
tm114504,The Legend of Bhagat Singh,2002,,155,tt0319736,8.1,16225,0,1,0,0
ts20358,Half & Half,2002,TV-14,21,tt0320024,7.0,1827,0,0,0,0
tm49405,Inuyasha the Movie: Affections Touching Across Time,2001,PG-13,99,tt0322645,7.2,2570,0,0,0,0
tm116324,Jackass: The Movie,2002,R,88,tt0322802,6.6,92305,0,0,0,0
tm96595,Lakshya,2004,G,186,tt0323013,7.8,23076,0,1,0,0
tm137362,The Texas Chainsaw Massacre,2003,R,98,tt0324216,6.2,140741,0,0,0,0
tm142086,The Last Samurai,2003,R,154,tt0325710,7.8,429097,0,1,0,0
tm112381,Comedian,2002,R,82,tt0328962,6.9,6948,0,0,0,0
tm150214,Freddy vs. Jason,2003,R,97,tt0329101,5.7,117986,0,0,0,0
ts2760,Fireman Sam,1987,TV-Y,10,tt0329829,6.1,1759,0,0,0,0
tm81461,Whisky,2004,,99,tt0331370,7.1,6249,0,0,0,0
ts75002,Borderliner,2017,TV-MA,49,tt0332902,6.8,3999,0,0,0,0
tm81270,Starsky & Hutch,2004,PG-13,101,tt0335438,6.1,145981,0,0,0,0
tm148270,Something's Gotta Give,2003,PG-13,128,tt0337741,6.7,120400,0,0,0,0
tm230524,"Chatô, The King of Brazil",2015,,100,tt0337926,5.4,18,0,0,0,0
ts56549,Scare Tactics,2003,TV-14,22,tt0339968,6.7,2512,0,0,0,0
tm136808,Identity,2003,R,90,tt0340770,7.3,240433,0,1,0,0
tm136308,Monster,2003,R,110,tt0340855,7.3,149218,0,1,0,0
ts57705,The Paper,2016,TV-MA,48,tt0341957,7.4,64,0,0,0,0
tm141707,Blood and Bone,2009,R,93,tt0346631,6.7,33051,0,0,0,0
tm141117,Chalte Chalte,2003,PG-13,175,tt0346723,6.5,15379,0,0,0,0
tm144345,Kal Ho Naa Ho,2003,PG,186,tt0347304,7.9,68028,0,1,0,0
tm88366,Main Hoon Na,2004,PG,179,tt0347473,7.0,35142,0,1,0,0
tm254052,Kucch To Hai,2003,,142,tt0348662,4.3,909,0,0,0,0
ts17942,Chappelle's Show,2003,TV-14,21,tt0353049,8.8,62140,0,0,1,1
ts204466,Pecados capitales,2002,TV-MA,43,tt0355119,8.5,190,0,0,0,0
tm88382,A Cinderella Story,2004,PG,95,tt0356470,5.9,86395,0,0,0,0
tm411457,Pyar Ke Do Pal,1986,,153,tt0358053,6.1,65,0,0,0,0
tm89592,Blade: Trinity,2004,R,106,tt0359013,5.8,175210,0,0,0,0
tm24088,Scary Movie 4,2006,PG-13,83,tt0362120,5.1,120188,0,0,0,0
tm134140,Ishq Vishk,2003,,145,tt0362771,6.1,4203,0,0,0,0
tm89684,New York Minute,2004,PG,87,tt0363282,4.8,23307,0,0,0,0
tm82985,Without a Paddle,2004,PG-13,95,tt0364751,5.8,47049,0,0,0,0
ts22337,NCIS,2003,TV-14,44,tt0364845,7.8,141049,0,0,0,1
tm429382,Nappily Ever After,2018,NC-17,100,tt0365545,6.4,9139,0,0,0,0
tm148671,A Walk Among the Tombstones,2014,R,113,tt0365907,6.5,120389,0,0,0,0
tm37546,Happy Feet,2006,PG,108,tt0366548,6.4,182612,0,0,0,0
tm89036,Harold & Kumar Go to White Castle,2004,R,88,tt0366551,7.0,193053,0,1,0,0
tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,PG-13,100,tt0366621,7.3,2127,0,0,0,0
tm82765,Swades,2004,G,189,tt0367110,8.1,89085,1,1,0,0
ts17156,Arrested Development,2003,TV-MA,28,tt0367279,8.7,297552,0,0,0,1
ts32186,Sonic X,2003,TV-Y7,21,tt0367413,6.1,4577,0,0,0,0
tm129763,Anbe Sivam,2003,,160,tt0367495,8.7,20595,0,1,0,0
tm160815,Charlie and the Chocolate Factory,2005,PG,106,tt0367594,6.6,465995,0,0,0,0
tm87672,Rabun,2003,,90,tt0368190,7.7,83,0,0,0,0
tm177068,Fun with Dick and Jane,2005,PG-13,90,tt0369441,6.1,143998,0,0,0,0
tm167516,Monster-in-Law,2005,PG-13,101,tt0369735,5.5,60693,0,0,0,0
tm130301,Gangaajal,2003,,157,tt0373856,7.8,17029,0,1,0,0
tm79895,Halloween,2007,R,109,tt0373883,6.0,118815,0,0,0,0
tm88738,Closer,2004,R,94,tt0376541,7.2,215678,0,1,0,0
tm135795,The Kite,2003,,80,tt0377610,6.4,739,0,0,0,0
tm419052,Ek Jaan Hain Hum,1983,,151,tt0379272,6.3,70,0,0,0,0
tm39030,Casino Royale,2006,,139,tt0381061,8.0,644336,0,1,0,0
tm93004,Yuva,2004,PG,161,tt0382383,7.3,8878,0,0,0,0
tm82718,G.O.R.A.,2004,PG-13,127,tt0384116,8.0,61797,0,1,0,0
tm27268,Monster House,2006,PG,91,tt0385880,6.6,114942,0,0,0,0
tm86995,Christmas with the Kranks,2004,PG,99,tt0388419,5.4,49090,0,0,0,0
ts20339,One Piece,1999,TV-14,23,tt0388629,8.8,112586,0,0,1,1
ts26091,The Staircase,2004,TV-MA,49,tt0388644,7.8,21531,0,0,0,1
ts687,The 4400,2004,TV-14,44,tt0389564,7.3,44971,0,0,1,0
ts2230,America's Next Top Model,2003,TV-14,44,tt0391576,5.6,17843,0,0,0,0
tm159310,Coach Carter,2005,PG-13,130,tt0393162,7.3,143670,0,1,0,0
