id,country,production_id
tm278279,US,2
ts57055,US,2
ts86021,FR,5
ts56683,US,2
ts52981,US,2
tm285298,US,2
tm320211,GB,3
ts128422,SA,45
tm299783,ES,18
tm326773,ES,18
ts36634,CN,54
tm299761,ES,18
tm927718,US,2
tm372305,US,2
tm533845,US,2
ts86831,IL,65
ts42043,JP,9
ts75286,US,2
tm469432,AU,19
tm469432,GB,3
tm426630,IN,4
tm321189,AR,12
tm348392,GB,3
tm348392,US,2
tm348392,IL,65
tm348392,IT,11
tm348392,PE,22
tm348386,US,2
tm266622,US,2
ts54156,US,2
tm271333,PH,50
ts57464,US,2
tm423950,MX,27
tm286520,US,2
ts41253,CN,54
ts83449,TW,47
tm244577,CN,54
tm316923,ID,51
tm336227,ZA,37
tm414285,US,2
tm242755,US,2
tm300184,GB,3
ts57439,US,2
tm307776,IN,4
tm416779,US,2
tm272012,CA,20
tm421382,IN,4
tm315340,ID,51
tm320206,US,2
tm369179,US,2
ts55484,KR,38
tm300027,ES,18
tm358770,ES,18
tm358770,US,2
ts57465,US,2
tm417317,IN,4
ts21876,CN,54
ts55627,US,2
ts57947,BE,14
ts53960,JP,9
tm371959,US,2
tm244317,US,2
ts53663,CA,20
tm359030,XX,69
tm283322,US,2
tm355941,,26
tm273294,US,2
ts128895,JP,9
tm324870,US,2
tm288499,MX,27
tm288499,US,2
tm458363,US,2
tm450095,JP,9
tm311898,CA,20
tm311898,US,2
tm289882,PH,50
ts127430,US,2
tm307843,IN,4
ts53149,KR,38
tm309115,IN,4
tm305433,US,2
tm290831,US,2
tm334949,DE,17
ts56636,KR,38
tm331117,BE,14
tm331117,FR,5
tm300447,US,2
tm355666,US,2
tm313293,US,2
tm244259,FR,5
tm244259,GB,3
tm244259,US,2
ts20238,CN,54
tm351720,BE,14
tm351720,GB,3
tm351720,US,2
tm219252,US,2
tm324278,US,2
ts81542,CA,20
tm348403,GB,3
tm348403,FR,5
tm420181,US,2
tm323602,FR,5
tm350379,FR,5
tm350379,CA,20
tm300056,ES,18
tm350727,AE,53
tm353742,BG,83
tm353742,US,2
tm272484,US,2
ts41899,KR,38
tm271959,US,2
ts53101,KR,38
ts53065,KR,38
tm462551,ES,18
tm282915,JP,9
ts76159,CA,20
ts53516,US,2
tm411415,US,2
tm271951,US,2
tm271951,GB,3
tm271839,US,2
tm316744,US,2
tm371900,GB,3
tm431214,KW,55
ts53287,US,2
ts78231,US,2
ts38304,UA,84
tm349278,CA,20
ts52922,US,2
ts52988,US,2
tm450478,US,2
tm463385,US,2
ts53264,KR,38
tm272413,US,2
ts76243,GB,3
tm1121246,GB,3
tm1121246,US,2
tm1121246,CA,20
tm321628,AU,19
tm320249,US,2
tm275726,MX,27
tm324204,IN,4
tm324204,MX,27
tm283909,PH,50
tm279828,PH,50
tm326089,IN,4
ts53513,TW,47
ts69208,TW,47
tm1172600,ES,18
tm340927,IN,4
tm451502,IN,4
ts75320,TW,47
ts126804,,26
tm348003,BG,83
tm348003,US,2
tm315345,CD,85
tm428856,AU,19
tm244052,US,2
ts77197,US,2
ts99814,SA,45
ts55936,KR,38
tm281182,US,2
tm290444,KR,38
ts55978,JP,9
tm370212,HK,13
tm370212,IS,43
tm370212,US,2
